"iteration","scenario","ratio","method","beta","se","p_value","n_matched_cases","n_discordant","matched_mac","ratio_label"
3,"Positive control",6,"Matching + CLR",0.537898919100078,0.148881585806914,0.000252737553618033,2500,249,261,"1:6"
4,"Negative control",1,"Oracle GWAS",0.0308869250051595,0.115499609447401,0.789145672598555,,,,"1:1"
4,"Negative control",1,"Standard GWAS",0.726725967013885,0.114277532308442,2.02665349757378e-10,,,,"1:1"
4,"Negative control",1,"PC-adjusted GWAS",0.159084991629675,0.11784904374622,0.177046516919343,,,,"1:1"
4,"Negative control",1,"Matching + CLR",0.353640040243579,0.227111483742479,0.117524868096639,2500,80,88,"1:1"
4,"Negative control",4,"Oracle GWAS",0.0308869250051595,0.115499609447401,0.789145672598555,,,,"1:4"
4,"Negative control",4,"Standard GWAS",0.726725967013885,0.114277532308442,2.02665349757378e-10,,,,"1:4"
4,"Negative control",4,"PC-adjusted GWAS",0.159084991629675,0.11784904374622,0.177046516919343,,,,"1:4"
4,"Negative control",4,"Matching + CLR",0.116975554632469,0.160484285530017,0.465822515309939,2500,222,233,"1:4"
4,"Negative control",6,"Oracle GWAS",0.0308869250051595,0.115499609447401,0.789145672598555,,,,"1:6"
4,"Negative control",6,"Standard GWAS",0.726725967013885,0.114277532308442,2.02665349757378e-10,,,,"1:6"
4,"Negative control",6,"PC-adjusted GWAS",0.159084991629675,0.11784904374622,0.177046516919343,,,,"1:6"
4,"Negative control",6,"Matching + CLR",0.120505266347855,0.154419341904595,0.434899039562951,2500,303,323,"1:6"
4,"Positive control",1,"Oracle GWAS",0.452332813159097,0.128272771229447,0.00042135299984032,,,,"1:1"
4,"Positive control",1,"Standard GWAS",0.702378729649594,0.12758844130986,3.69096663907603e-08,,,,"1:1"
4,"Positive control",1,"PC-adjusted GWAS",0.495695631302899,0.12828138501908,0.000111486966991769,,,,"1:1"
4,"Positive control",1,"Matching + CLR",0.504556010752396,0.22387032971797,0.0227402961152997,2500,85,93,"1:1"
4,"Positive control",4,"Oracle GWAS",0.452332813159097,0.128272771229447,0.00042135299984032,,,,"1:4"
4,"Positive control",4,"Standard GWAS",0.702378729649594,0.12758844130986,3.69096663907603e-08,,,,"1:4"
4,"Positive control",4,"PC-adjusted GWAS",0.495695631302899,0.12828138501908,0.000111486966991769,,,,"1:4"
4,"Positive control",4,"Matching + CLR",0.599463072303841,0.162695054389899,0.000186099060165774,2500,175,185,"1:4"
4,"Positive control",6,"Oracle GWAS",0.452332813159097,0.128272771229447,0.00042135299984032,,,,"1:6"
4,"Positive control",6,"Standard GWAS",0.702378729649594,0.12758844130986,3.69096663907603e-08,,,,"1:6"
4,"Positive control",6,"PC-adjusted GWAS",0.495695631302899,0.12828138501908,0.000111486966991769,,,,"1:6"
4,"Positive control",6,"Matching + CLR",0.595650033212445,0.153682666662514,8.45692977616515e-05,2500,232,249,"1:6"
5,"Negative control",1,"Oracle GWAS",0.270262738559728,0.10754248509061,0.0119682601183827,,,,"1:1"
5,"Negative control",1,"Standard GWAS",0.93951414834784,0.105955269101105,7.50870520383468e-19,,,,"1:1"
5,"Negative control",1,"PC-adjusted GWAS",0.386559234652143,0.109581274876657,0.000419340567095768,,,,"1:1"
5,"Negative control",1,"Matching + CLR",0.354617829949999,0.206644250262166,0.0843314958781708,2500,94,99,"1:1"
5,"Negative control",4,"Oracle GWAS",0.270262738559728,0.10754248509061,0.0119682601183827,,,,"1:4"
5,"Negative control",4,"Standard GWAS",0.93951414834784,0.105955269101105,7.50870520383468e-19,,,,"1:4"
5,"Negative control",4,"PC-adjusted GWAS",0.386559234652143,0.109581274876657,0.000419340567095768,,,,"1:4"
5,"Negative control",4,"Matching + CLR",0.278286974703307,0.152062040440825,0.0663114757254447,2500,221,234,"1:4"
5,"Negative control",6,"Oracle GWAS",0.270262738559728,0.10754248509061,0.0119682601183827,,,,"1:6"
5,"Negative control",6,"Standard GWAS",0.93951414834784,0.105955269101105,7.50870520383468e-19,,,,"1:6"
5,"Negative control",6,"PC-adjusted GWAS",0.386559234652143,0.109581274876657,0.000419340567095768,,,,"1:6"
5,"Negative control",6,"Matching + CLR",0.231340429258988,0.1443169866815,0.108107325836893,2500,315,334,"1:6"
5,"Positive control",1,"Oracle GWAS",0.36243058202447,0.131256153830529,0.00575812163334585,,,,"1:1"
5,"Positive control",1,"Standard GWAS",0.608113209427799,0.13051407205778,3.17180315561285e-06,,,,"1:1"
5,"Positive control",1,"PC-adjusted GWAS",0.388940449933447,0.131306788484966,0.00305574138844057,,,,"1:1"
5,"Positive control",1,"Matching + CLR",0.382992252256106,0.236771210371113,0.103637964013962,2500,74,76,"1:1"
5,"Positive control",4,"Oracle GWAS",0.36243058202447,0.131256153830529,0.00575812163334585,,,,"1:4"
5,"Positive control",4,"Standard GWAS",0.608113209427799,0.13051407205778,3.17180315561285e-06,,,,"1:4"
5,"Positive control",4,"PC-adjusted GWAS",0.388940449933447,0.131306788484966,0.00305574138844057,,,,"1:4"
5,"Positive control",4,"Matching + CLR",0.313163393377121,0.173590280523605,0.070041336874616,2500,169,177,"1:4"
5,"Positive control",6,"Oracle GWAS",0.36243058202447,0.131256153830529,0.00575812163334585,,,,"1:6"
5,"Positive control",6,"Standard GWAS",0.608113209427799,0.13051407205778,3.17180315561285e-06,,,,"1:6"
5,"Positive control",6,"PC-adjusted GWAS",0.388940449933447,0.131306788484966,0.00305574138844057,,,,"1:6"
5,"Positive control",6,"Matching + CLR",0.283703213650529,0.165816142974939,0.0860251040784724,2500,234,249,"1:6"
6,"Negative control",1,"Oracle GWAS",-0.116983250504046,0.115569665146531,0.311427398958254,,,,"1:1"
6,"Negative control",1,"Standard GWAS",0.573396373610743,0.113943267243099,4.84637415063129e-07,,,,"1:1"
6,"Negative control",1,"PC-adjusted GWAS",0.00881275893902703,0.117680779292242,0.940304630690328,,,,"1:1"
6,"Negative control",1,"Matching + CLR",-0.125183498205801,0.204573770520499,0.54029137460742,2500,93,94,"1:1"
6,"Negative control",4,"Oracle GWAS",-0.116983250504046,0.115569665146531,0.311427398958254,,,,"1:4"
6,"Negative control",4,"Standard GWAS",0.573396373610743,0.113943267243099,4.84637415063129e-07,,,,"1:4"
6,"Negative control",4,"PC-adjusted GWAS",0.00881275893902703,0.117680779292242,0.940304630690328,,,,"1:4"
6,"Negative control",4,"Matching + CLR",-0.252791949861433,0.164250793857282,0.122750677743919,2500,260,271,"1:4"
6,"Negative control",6,"Oracle GWAS",-0.116983250504046,0.115569665146531,0.311427398958254,,,,"1:6"
6,"Negative control",6,"Standard GWAS",0.573396373610743,0.113943267243099,4.84637415063129e-07,,,,"1:6"
6,"Negative control",6,"PC-adjusted GWAS",0.00881275893902703,0.117680779292242,0.940304630690328,,,,"1:6"
6,"Negative control",6,"Matching + CLR",-0.231979855247041,0.160336979368261,0.147018600655861,2500,358,377,"1:6"
6,"Positive control",1,"Oracle GWAS",0.315653078636159,0.12758250121137,0.0133568750133683,,,,"1:1"
6,"Positive control",1,"Standard GWAS",0.567039654202958,0.126646059393476,7.55727213859455e-06,,,,"1:1"
6,"Positive control",1,"PC-adjusted GWAS",0.352368193178669,0.127584204430963,0.00574752107741327,,,,"1:1"
6,"Positive control",1,"Matching + CLR",0.182321556793955,0.214087209644419,0.393768634642993,2500,88,90,"1:1"
6,"Positive control",4,"Oracle GWAS",0.315653078636159,0.12758250121137,0.0133568750133683,,,,"1:4"
6,"Positive control",4,"Standard GWAS",0.567039654202958,0.126646059393476,7.55727213859455e-06,,,,"1:4"
6,"Positive control",4,"PC-adjusted GWAS",0.352368193178669,0.127584204430963,0.00574752107741327,,,,"1:4"
6,"Positive control",4,"Matching + CLR",0.144740120808686,0.163587571599423,0.375852779762769,2500,207,219,"1:4"
6,"Positive control",6,"Oracle GWAS",0.315653078636159,0.12758250121137,0.0133568750133683,,,,"1:6"
6,"Positive control",6,"Standard GWAS",0.567039654202958,0.126646059393476,7.55727213859455e-06,,,,"1:6"
6,"Positive control",6,"PC-adjusted GWAS",0.352368193178669,0.127584204430963,0.00574752107741327,,,,"1:6"
6,"Positive control",6,"Matching + CLR",0.224036995442613,0.157094373673024,0.152923866785707,2500,263,284,"1:6"
7,"Negative control",1,"Oracle GWAS",0.0467691040099562,0.116199523688322,0.687323714119501,,,,"1:1"
7,"Negative control",1,"Standard GWAS",0.711917222875854,0.114736151286764,5.47593700426141e-10,,,,"1:1"
7,"Negative control",1,"PC-adjusted GWAS",0.155262216879091,0.118657331625489,0.190706349973366,,,,"1:1"
7,"Negative control",1,"Matching + CLR",-0.0392207131532812,0.198067587532057,0.843021976369725,2500,102,106,"1:1"
7,"Negative control",4,"Oracle GWAS",0.0467691040099562,0.116199523688322,0.687323714119501,,,,"1:4"
7,"Negative control",4,"Standard GWAS",0.711917222875854,0.114736151286764,5.47593700426141e-10,,,,"1:4"
7,"Negative control",4,"PC-adjusted GWAS",0.155262216879091,0.118657331625489,0.190706349973366,,,,"1:4"
7,"Negative control",4,"Matching + CLR",0.131549407500773,0.15936705087031,0.408790902708686,2500,223,235,"1:4"
7,"Negative control",6,"Oracle GWAS",0.0467691040099562,0.116199523688322,0.687323714119501,,,,"1:6"
7,"Negative control",6,"Standard GWAS",0.711917222875854,0.114736151286764,5.47593700426141e-10,,,,"1:6"
7,"Negative control",6,"PC-adjusted GWAS",0.155262216879091,0.118657331625489,0.190706349973366,,,,"1:6"
7,"Negative control",6,"Matching + CLR",0.106759443204498,0.152536659871203,0.483790782016795,2500,314,333,"1:6"
7,"Positive control",1,"Oracle GWAS",0.201795244861591,0.140510433302475,0.150957261641125,,,,"1:1"
7,"Positive control",1,"Standard GWAS",0.455172796472568,0.139887809116908,0.00113855677363935,,,,"1:1"
7,"Positive control",1,"PC-adjusted GWAS",0.237283872846916,0.140560633279765,0.0913872994474384,,,,"1:1"
7,"Positive control",1,"Matching + CLR",-0.0909717782057268,0.213421306912224,0.669815357599417,2500,88,90,"1:1"
7,"Positive control",4,"Oracle GWAS",0.201795244861591,0.140510433302475,0.150957261641125,,,,"1:4"
7,"Positive control",4,"Standard GWAS",0.455172796472568,0.139887809116908,0.00113855677363935,,,,"1:4"
7,"Positive control",4,"PC-adjusted GWAS",0.237283872846916,0.140560633279765,0.0913872994474384,,,,"1:4"
7,"Positive control",4,"Matching + CLR",0.0606515467901279,0.172643328844291,0.725315148237577,2500,200,205,"1:4"
7,"Positive control",6,"Oracle GWAS",0.201795244861591,0.140510433302475,0.150957261641125,,,,"1:6"
7,"Positive control",6,"Standard GWAS",0.455172796472568,0.139887809116908,0.00113855677363935,,,,"1:6"
7,"Positive control",6,"PC-adjusted GWAS",0.237283872846916,0.140560633279765,0.0913872994474384,,,,"1:6"
7,"Positive control",6,"Matching + CLR",0.121414638072976,0.167778562195235,0.469007140419122,2500,258,272,"1:6"
8,"Negative control",1,"Oracle GWAS",-0.0632026895039322,0.117819406992768,0.591656564032537,,,,"1:1"
8,"Negative control",1,"Standard GWAS",0.62702926975085,0.116525697667728,7.40573367436579e-08,,,,"1:1"
8,"Negative control",1,"PC-adjusted GWAS",0.0430956079035367,0.12002126606731,0.719545391918508,,,,"1:1"
8,"Negative control",1,"Matching + CLR",0.24294617861039,0.21120568916877,0.248863874937922,2500,91,91,"1:1"
8,"Negative control",4,"Oracle GWAS",-0.0632026895039322,0.117819406992768,0.591656564032537,,,,"1:4"
8,"Negative control",4,"Standard GWAS",0.62702926975085,0.116525697667728,7.40573367436579e-08,,,,"1:4"
8,"Negative control",4,"PC-adjusted GWAS",0.0430956079035367,0.12002126606731,0.719545391918508,,,,"1:4"
8,"Negative control",4,"Matching + CLR",0.00507401658793649,0.159165843395579,0.974568676762353,2500,240,254,"1:4"
8,"Negative control",6,"Oracle GWAS",-0.0632026895039322,0.117819406992768,0.591656564032537,,,,"1:6"
8,"Negative control",6,"Standard GWAS",0.62702926975085,0.116525697667728,7.40573367436579e-08,,,,"1:6"
8,"Negative control",6,"PC-adjusted GWAS",0.0430956079035367,0.12002126606731,0.719545391918508,,,,"1:6"
8,"Negative control",6,"Matching + CLR",0.0514344507166067,0.153594173336705,0.737694328330742,2500,321,342,"1:6"
8,"Positive control",1,"Oracle GWAS",0.567794088111599,0.122071708823582,3.29823534537287e-06,,,,"1:1"
8,"Positive control",1,"Standard GWAS",0.793732171101646,0.121336846624921,6.08807057391734e-11,,,,"1:1"
8,"Positive control",1,"PC-adjusted GWAS",0.595432799939014,0.122120107334006,1.08370248691151e-06,,,,"1:1"
8,"Positive control",1,"Matching + CLR",0.658055860748675,0.228779154340594,0.0034053480791047,2500,85,93,"1:1"
